t,tau,detuning,population,dP_dtau,heat_power,mutual_information
9.660000000000000142e+00,7.728000000000000647e+00,4.794473782301050813e-01,2.241446009937894668e-01,-6.732994274937412205e-03,-2.803902257744290364e-03,1.064207630476575295e+00
9.662000000000000810e+00,7.729600000000001359e+00,4.794634762239404213e-01,2.241338289183156252e-01,-6.732102699332832320e-03,-2.803444269451311512e-03,1.064180878980479417e+00
9.663999999999999702e+00,7.731200000000000294e+00,4.794795618730712805e-01,2.241230582687608885e-01,-6.731211874801041467e-03,-2.802986683357299065e-03,1.064154129691243345e+00
9.666000000000000369e+00,7.732800000000001006e+00,4.794956351865506394e-01,2.241122890439240234e-01,-6.730321800546204027e-03,-2.802529499026730313e-03,1.064127382606367966e+00
9.668000000000001037e+00,7.734400000000000830e+00,4.795116961734252059e-01,2.241015212426053782e-01,-6.729432475774154050e-03,-2.802072716024926486e-03,1.064100637723357279e+00
9.669999999999999929e+00,7.736000000000000654e+00,4.795277448427358591e-01,2.240907548636065505e-01,-6.728543899692263422e-03,-2.801616333917988141e-03,1.064073895039717721e+00
9.672000000000000597e+00,7.737600000000000477e+00,4.795437812035174829e-01,2.240799899057299427e-01,-6.727656071508336839e-03,-2.801160352272341527e-03,1.064047154552957286e+00
9.673999999999999488e+00,7.739200000000000301e+00,4.795598052647989107e-01,2.240692263677798168e-01,-6.726768990432696084e-03,-2.800704770655603349e-03,1.064020416260587965e+00
9.676000000000000156e+00,7.740800000000000125e+00,4.795758170356031469e-01,2.240584642485613232e-01,-6.725882655676351622e-03,-2.800249588635818354e-03,1.063993680160123301e+00
9.678000000000000824e+00,7.742400000000000837e+00,4.795918165249469789e-01,2.240477035468808886e-01,-6.724997066451668740e-03,-2.799794805781738623e-03,1.063966946249078838e+00
9.679999999999999716e+00,7.743999999999999773e+00,4.796078037418414763e-01,2.240369442615464668e-01,-6.724112221973352864e-03,-2.799340421663232097e-03,1.063940214524974337e+00
9.682000000000000384e+00,7.745600000000000485e+00,4.796237786952915472e-01,2.240261863913670659e-01,-6.723228121455821459e-03,-2.798886435850187534e-03,1.063913484985330893e+00
9.684000000000001052e+00,7.747200000000001197e+00,4.796397413942962706e-01,2.240154299351530265e-01,-6.722344764115898916e-03,-2.798432847913637743e-03,1.063886757627672264e+00
9.685999999999999943e+00,7.748800000000000132e+00,4.796556918478485643e-01,2.240046748917155772e-01,-6.721462149172159964e-03,-2.797979657425488965e-03,1.063860032449523763e+00
9.688000000000000611e+00,7.750400000000000844e+00,4.796716300649356834e-01,2.239939212598679175e-01,-6.720580275843049227e-03,-2.797526863957726807e-03,1.063833309448415143e+00
9.689999999999999503e+00,7.751999999999999780e+00,4.796875560545386663e-01,2.239831690384237461e-01,-6.719699143349960359e-03,-2.797074467083712941e-03,1.063806588621876603e+00
9.692000000000000171e+00,7.753600000000000492e+00,4.797034698256326668e-01,2.239724182261986218e-01,-6.718818750914006856e-03,-2.796622466376828126e-03,1.063779869967442782e+00
9.694000000000000838e+00,7.755200000000001204e+00,4.797193713871870102e-01,2.239616688220089080e-01,-6.717939097758884349e-03,-2.796170861411669158e-03,1.063753153482649427e+00
9.695999999999999730e+00,7.756800000000000139e+00,4.797352607481648601e-01,2.239509208246724392e-01,-6.717060183109404767e-03,-2.795719651763439121e-03,1.063726439165034954e+00
9.698000000000000398e+00,7.758400000000000851e+00,4.797511379175236068e-01,2.239401742330082157e-01,-6.716182006191018412e-03,-2.795268837007744422e-03,1.063699727012140661e+00
9.700000000000001066e+00,7.760000000000001563e+00,4.797670029042146456e-01,2.239294290458364589e-01,-6.715304566230846130e-03,-2.794818416721028473e-03,1.063673017021509626e+00
9.701999999999999957e+00,7.761600000000000499e+00,4.797828557171833208e-01,2.239186852619787227e-01,-6.714427862457843232e-03,-2.794368390480637607e-03,1.063646309190688255e+00
9.704000000000000625e+00,7.763200000000001211e+00,4.797986963653692594e-01,2.239079428802575322e-01,-6.713551894100930340e-03,-2.793918757864038722e-03,1.063619603517224288e+00
9.705999999999999517e+00,7.764800000000000146e+00,4.798145248577059263e-01,2.238972018994971613e-01,-6.712676660391797556e-03,-2.793469518449996289e-03,1.063592899998669239e+00
9.708000000000000185e+00,7.766400000000000858e+00,4.798303412031210691e-01,2.238864623185226610e-01,-6.711802160562125447e-03,-2.793020671817404883e-03,1.063566198632576620e+00
9.710000000000000853e+00,7.768000000000000682e+00,4.798461454105362733e-01,2.238757241361601924e-01,-6.710928393845712672e-03,-2.792572217546180832e-03,1.063539499416501277e+00
9.711999999999999744e+00,7.769600000000000506e+00,4.798619374888674072e-01,2.238649873512377486e-01,-6.710055359477606896e-03,-2.792124155216899224e-03,1.063512802348002051e+00
9.714000000000000412e+00,7.771200000000000330e+00,4.798777174470243434e-01,2.238542519625838501e-01,-6.709183056693349308e-03,-2.791676484410476021e-03,1.063486107424638671e+00
9.716000000000001080e+00,7.772800000000001042e+00,4.798934852939109597e-01,2.238435179690288768e-01,-6.708311484730292151e-03,-2.791229204708721434e-03,1.063459414643974865e+00
9.717999999999999972e+00,7.774399999999999977e+00,4.799092410384253049e-01,2.238327853694040415e-01,-6.707440642827237030e-03,-2.790782315694183800e-03,1.063432724003575913e+00
9.720000000000000639e+00,7.776000000000000689e+00,4.799249846894594884e-01,2.238220541625417226e-01,-6.706570530223620458e-03,-2.790335816949815213e-03,1.063406035501009317e+00
9.721999999999999531e+00,7.777599999999999625e+00,4.799407162558996798e-01,2.238113243472757974e-01,-6.705701146160676120e-03,-2.789889708059450739e-03,1.063379349133845686e+00
9.724000000000000199e+00,7.779200000000000337e+00,4.799564357466262199e-01,2.238005959224411145e-01,-6.704832489880289091e-03,-2.789443988607334841e-03,1.063352664899657629e+00
9.726000000000000867e+00,7.780800000000001049e+00,4.799721431705135100e-01,2.237898688868738828e-01,-6.703964560625737430e-03,-2.788998658178425821e-03,1.063325982796019753e+00
9.727999999999999758e+00,7.782399999999999984e+00,4.799878385364299005e-01,2.237791432394114211e-01,-6.703097357642319280e-03,-2.788553716358662532e-03,1.063299302820509773e+00
