x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.407499999999999929e+01,3.957305822345860181e-03,6.709006176081678235e-08,1.341801235216335541e-06,1.316221056728601662e-05
-1.402499999999999858e+01,3.971385996964190909e-03,8.315234011598509984e-08,1.663046802319701944e-06,1.325609450429383529e-05
-1.397499999999999964e+01,3.985566624048135498e-03,1.000118602649443926e-07,2.000237205298887535e-06,1.335098604815977408e-05
-1.392500000000000071e+01,3.999848781344834611e-03,1.151869890550371412e-07,2.303739781100742559e-06,1.344689966256478441e-05
-1.387500000000000000e+01,4.014233562068802823e-03,1.263952642918293128e-07,2.527905285836586045e-06,1.354385007152247859e-05
-1.382499999999999929e+01,4.028722075156668421e-03,1.319248575464618195e-07,2.638497150929236072e-06,1.364185226501960516e-05
-1.377499999999999858e+01,4.043315445570334551e-03,1.309258930974592663e-07,2.618517861949185009e-06,1.374092150479951704e-05
-1.372499999999999964e+01,4.058014814581715861e-03,1.235726349214415491e-07,2.471452698428830876e-06,1.384107333029284719e-05
-1.367500000000000071e+01,4.072821340060918567e-03,1.110667117708576680e-07,2.221334235417153148e-06,1.394232356469965921e-05
-1.362500000000000000e+01,4.087736196797152159e-03,9.547604904153498170e-08,1.909520980830699581e-06,1.404468832122747733e-05
-1.357499999999999929e+01,4.102760576783939621e-03,7.943026729927859731e-08,1.588605345985571893e-06,1.414818400948983770e-05
-1.352499999999999858e+01,4.117895689555001529e-03,6.571687589907557992e-08,1.314337517981511598e-06,1.425282734207003990e-05
-1.347499999999999964e+01,4.133142762502379185e-03,5.683979844778049330e-08,1.136795968955609707e-06,1.435863534125505541e-05
-1.342500000000000071e+01,4.148503041198189391e-03,5.460967482331802249e-08,1.092193496466360476e-06,1.446562534594457384e-05
-1.337500000000000000e+01,4.163977789746068151e-03,5.983244518884479346e-08,1.196648903776895816e-06,1.457381501874046368e-05
-1.332499999999999929e+01,4.179568291118878828e-03,7.214907044698323907e-08,1.442981408939664781e-06,1.468322235322199247e-05
-1.327499999999999858e+01,4.195275847508973636e-03,9.005672874920079040e-08,1.801134574984015808e-06,1.479386568141250532e-05
-1.322499999999999964e+01,4.211101780695525668e-03,1.111137675245416036e-07,2.222275350490831914e-06,1.490576368144316715e-05
-1.317500000000000071e+01,4.227047432409777525e-03,1.323013908012580426e-07,2.646027816025160534e-06,1.501893538541989481e-05
-1.312500000000000000e+01,4.243114164708247996e-03,1.504891598865052247e-07,3.009783197730104177e-06,1.513340018749956200e-05
-1.307499999999999929e+01,4.259303360381765102e-03,1.629331222840152159e-07,3.258662445680304107e-06,1.524917785218182172e-05
-1.302499999999999858e+01,4.275616423308521361e-03,1.677279144316664233e-07,3.354558288633328149e-06,1.536628852282333405e-05
-1.297499999999999964e+01,4.292054778901404320e-03,1.641390417336773351e-07,3.282780834673546491e-06,1.548475273038099606e-05
-1.292500000000000071e+01,4.308619874492819815e-03,1.527583400806435846e-07,3.055166801612871691e-06,1.560459140239140927e-05
-1.287500000000000000e+01,4.325313179773083473e-03,1.354520653568125348e-07,2.709041307136250590e-06,1.572582587219386054e-05
-1.282499999999999929e+01,4.342136187209203781e-03,1.151032287865274399e-07,2.302064575730548852e-06,1.584847788840428566e-05
-1.277499999999999858e+01,4.359090412497270209e-03,9.518274497165901956e-08,1.903654899433180338e-06,1.597256962464828440e-05
-1.272499999999999964e+01,4.376177395024279972e-03,7.921245147972317425e-08,1.584249029594463485e-06,1.609812368956101188e-05
-1.267500000000000071e+01,4.393398698303383615e-03,7.020240132728561074e-08,1.404048026545712162e-06,1.622516313706261659e-05
-1.262500000000000000e+01,4.410755910480349679e-03,7.015163751512209281e-08,1.403032750302441750e-06,1.635371147691768516e-05
-1.257499999999999929e+01,4.428250644796475656e-03,7.969443606744824641e-08,1.593888721348964822e-06,1.648379268558789940e-05
-1.252499999999999858e+01,4.445884540100432034e-03,9.795344421006869688e-08,1.959068884201373832e-06,1.661543121738712819e-05
-1.247499999999999964e+01,4.463659261350144680e-03,1.226300869517401703e-07,2.452601739034803406e-06,1.674865201594861035e-05
-1.242500000000000071e+01,4.481576500131450279e-03,1.503256795585289122e-07,3.006513591170578244e-06,1.688348052601435900e-05
-1.237500000000000000e+01,4.499637975207094673e-03,1.770495671600129194e-07,3.540991343200258177e-06,1.701994270555699584e-05
-1.232499999999999929e+01,4.517845433038313908e-03,1.988392360119772382e-07,3.976784720239544552e-06,1.715806503824491503e-05
-1.227499999999999858e+01,4.536200648369122061e-03,2.123969055272687374e-07,4.247938110545374855e-06,1.729787454626184902e-05
-1.222499999999999964e+01,4.554705424795631868e-03,2.156412464506187858e-07,4.312824929012375716e-06,1.743939880349243049e-05
