a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.524398776565901725e-01,2.190055632393610729e-01,3.088340124210202209e+00,1.616867297376403112e-01,3.562381961358329074e-01,-2.634199341004255790e-01,9.555978455661995330e-02
1.524398776565901725e-01,2.326690310906809056e-01,2.914639478930344474e+00,1.525255835513830704e-01,3.301737806891569815e-01,-2.711481958966222017e-01,9.130354756860721566e-02
1.524398776565901725e-01,2.471849446559939156e-01,2.733975719852081543e+00,1.430066320844180505e-01,3.045656345773206097e-01,-2.789471549346198009e-01,8.682410015323938079e-02
1.524398776565901725e-01,2.626064868975767630e-01,2.548084839677288826e+00,1.332215610052060739e-01,2.795765929357876267e-01,-2.868162087225148982e-01,8.215276361804273175e-02
1.524398776565901725e-01,2.789901587924841775e-01,2.358836015393218410e+00,1.232688578788008055e-01,2.553604820210309545e-01,-2.947587159226826570e-01,7.732944856546525303e-02
1.524398776565901725e-01,2.963959863391089078e-01,2.168051756677785047e+00,1.132443676375859132e-01,2.320576287274420113e-01,-3.027721748700446525e-01,7.239180644400963760e-02
1.524398776565901725e-01,3.148877404786074030e-01,1.977594133701308099e+00,1.032458331734567025e-01,2.097908873464841839e-01,-3.108562667981241145e-01,6.738155969107946508e-02
1.524398776565901725e-01,3.345331707369330609e-01,1.789258518720860947e+00,9.336726114442411850e-02,1.886624768014401043e-01,-3.190115109566143969e-01,6.233373043847380973e-02
1.524398776565901725e-01,3.554042534434871947e-01,1.604773712164190957e+00,8.369893313028747839e-02,1.687518715115855772e-01,-3.272385781716865005e-01,5.728805476191171919e-02
1.524398776565901725e-01,3.775774554358037882e-01,1.425845174086910694e+00,7.432970445095858636e-02,1.501149041734238521e-01,-3.355381894675109611e-01,5.228178866151300674e-02
1.524398776565901725e-01,4.011340142164213640e-01,1.253858775450562346e+00,6.533154684403086332e-02,1.327841255108168084e-01,-3.439109893147985209e-01,4.734570753235173290e-02
1.524398776565901725e-01,4.261602355883718496e-01,1.090156103239374952e+00,5.677388259691955319e-02,1.167703369904466437e-01,-3.523573898843881946e-01,4.251557487262058732e-02
1.524398776565901725e-01,4.527478098597549905e-01,9.359129392108112011e-01,4.871732312811481724e-02,1.020650853080617010e-01,-3.608773819912743930e-01,3.781659290050524980e-02
1.524398776565901725e-01,4.809941477758980510e-01,7.919860437934207464e-01,4.120568428797975746e-02,8.864380251220917162e-02,-3.694703075278439330e-01,3.328017523529737398e-02
1.524398776565901725e-01,5.110027374098795594e-01,6.591734479800033242e-01,3.427960962977578963e-02,7.646921235832247754e-02,-3.781345870530301578e-01,2.892704336192090595e-02
1.524398776565901725e-01,5.428835233189813758e-01,5.379400604475095271e-01,2.796230403297511949e-02,6.549461598913532134e-02,-3.868673947616852460e-01,2.477862552403780824e-02
1.524398776565901725e-01,5.767533093562111635e-01,4.286733572713291029e-01,2.227286833304568253e-02,5.566672313780818976e-02,-3.956720831041466990e-01,2.085682819511060562e-02
1.524398776565901725e-01,6.127361866127036816e-01,3.315411824008179797e-01,1.721896522159209464e-02,4.692780179010390407e-02,-4.045476085491910290e-01,1.717474955189508476e-02
1.524398776565901725e-01,6.509639880588831140e-01,2.466363310107010653e-01,1.280434378165054739e-02,3.921706093487511285e-02,-4.134833256371064358e-01,1.374812078239730749e-02
1.524398776565901725e-01,6.915767715500877877e-01,1.738731199748606016e-01,9.023521820563195142e-03,3.247133034852735939e-02,-4.224908896076864928e-01,1.058922641937911843e-02
1.524398776565901725e-01,7.347233329662770096e-01,1.131758739574698497e-01,5.871586256196875166e-03,2.662522810521789421e-02,-4.315563875754105938e-01,7.708744416342244547e-03
1.524398776565901725e-01,7.805617513658469342e-01,6.447631292925169733e-02,3.344077353849346079e-03,2.161108481418849356e-02,-4.406752514052770797e-01,5.115482482232363605e-03
1.524398776565901725e-01,8.292599681508731058e-01,2.796064220845990642e-02,1.449828363488854044e-03,1.735890856458474976e-02,-4.498570035266418188e-01,2.816526067751493403e-03
1.524398776565901725e-01,8.809964023657076426e-01,4.695433232890116639e-03,2.434220550333902812e-04,1.379662631143587295e-02,-4.590906106009219889e-01,8.196150392666632636e-04
1.524398776565901725e-01,9.359606043832426892e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.085074104362790566e-02,-4.683701989827689371e-01,0.000000000000000000e+00
1.524398776565901725e-01,9.943539503737974794e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.447425321799881606e-03,-4.776917766627091222e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.056390380101000614e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.513959894678143792e-03,-4.870495894758102851e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.122297180747786838e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.980345842698857481e-03,-4.964411674898119298e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.192315819644253594e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.780884244779754173e-03,-5.058728234434090032e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.266702828948323756e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.855529926100512129e-03,-5.153200251303662327e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.345730745520447469e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.150875271563555506e-03,-5.247750350862737667e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.429689109435866134e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.620689470358178215e-03,-5.342620966352819023e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.518885524792715991e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.226009854949761720e-03,-5.437332951428303085e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.613646786702571667e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.348407727993577514e-04,-5.532217775758268008e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.714320078592415975e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.215534296589825409e-04,-5.626989998100975221e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.821274244204725834e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.660955665973308685e-04,-5.721505268943314348e-01,0.000000000000000000e+00
1.524398776565901725e-01,1.934901138955933853e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.531158705684957383e-04,-5.815810332761335300e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.055617065604391058e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.710906463528139626e-04,-5.910036385857526664e-01,0.000000000000000000e+00
1.524398776565901725e-01,2.183864299487725980e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.115161374251130275e-04,-6.003877369645796991e-01,0.000000000000000000e+00
