t,tau,detuning,population,dP_dtau,heat_power,mutual_information
6.161999999999999922e+00,4.929600000000000648e+00,4.216370318122672489e-01,9.727717221283022075e-02,-7.860716706887112271e-02,-3.637077957342504247e-02,6.381175691568827801e-01
6.163999999999999702e+00,4.931200000000000472e+00,4.216947900974848951e-01,9.715134294359584199e-02,-7.867936610826785360e-02,-3.640054986579094320e-02,6.375567310068326332e-01
6.166000000000000369e+00,4.932800000000000296e+00,4.217525094256582840e-01,9.702539854421257659e-02,-7.875107975450748587e-02,-3.643009139845104771e-02,6.369950181916116394e-01
6.168000000000000149e+00,4.934400000000000119e+00,4.218101898177364362e-01,9.689933979126241770e-02,-7.882230806681458923e-02,-3.645940427142355111e-02,6.364324327667156833e-01
6.169999999999999929e+00,4.935999999999999943e+00,4.218678312946650966e-01,9.677316746123020008e-02,-7.889305110757133255e-02,-3.648848858608082918e-02,6.358689767918538349e-01
6.171999999999999709e+00,4.937599999999999767e+00,4.219254338773866242e-01,9.664688233049820165e-02,-7.896330894231239073e-02,-3.651734444514649625e-02,6.353046523309485716e-01
6.174000000000000377e+00,4.939200000000000479e+00,4.219829975868399918e-01,9.652048517534148053e-02,-7.903308163972017075e-02,-3.654597195269249088e-02,6.347394614521403300e-01
6.176000000000000156e+00,4.940800000000000303e+00,4.220405224439607861e-01,9.639397677192261538e-02,-7.910236927161959364e-02,-3.657437121413612685e-02,6.341734062277895045e-01
6.177999999999999936e+00,4.942400000000000126e+00,4.220980084696812074e-01,9.626735789628682038e-02,-7.917117191297282086e-02,-3.660254233623698450e-02,6.336064887344791119e-01
6.179999999999999716e+00,4.943999999999999950e+00,4.221554556849299589e-01,9.614062932435678277e-02,-7.923948964187434163e-02,-3.663048542709407968e-02,6.330387110530165673e-01
6.182000000000000384e+00,4.945600000000000662e+00,4.222128641106324687e-01,9.601379183192779165e-02,-7.930732253954614341e-02,-3.665820059614292858e-02,6.324700752684375704e-01
6.184000000000000163e+00,4.947200000000000486e+00,4.222702337677105566e-01,9.588684619466265879e-02,-7.937467069033206368e-02,-3.668568795415239753e-02,6.319005834700067714e-01
6.185999999999999943e+00,4.948800000000000310e+00,4.223275646770827119e-01,9.575979318808677809e-02,-7.944153418169315473e-02,-3.671294761322196898e-02,6.313302377512215458e-01
6.187999999999999723e+00,4.950400000000000134e+00,4.223848568596639264e-01,9.563263358758306021e-02,-7.950791310420204927e-02,-3.673997968677845255e-02,6.307590402098131044e-01
6.190000000000000391e+00,4.952000000000000846e+00,4.224421103363656393e-01,9.550536816838708920e-02,-7.957380755153851959e-02,-3.676678428957341066e-02,6.301869929477503796e-01
