t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
3.571428571428571508e-01,6.514525157969916491e-02,9.369313627327192640e-01,3.596668513197464057e-01,2.907304828005156591e-02,1.400358137896112187e-01,4.307662965901268848e-01
3.642857142857142683e-01,6.773852315450371031e-02,9.345047929992602587e-01,3.664452925742062162e-01,3.020988375369143900e-02,1.441670663634809502e-01,4.462659039003953332e-01
3.714285714285714413e-01,7.038012822533620816e-02,9.320394580536109919e-01,3.732001697279163643e-01,3.136631472793000031e-02,1.483167221970772554e-01,4.619798694763772584e-01
3.785714285714285587e-01,7.306989718753739704e-02,9.295358558130253357e-01,3.799311225670440884e-01,3.254218120085204669e-02,1.524834155203823871e-01,4.779052275289028540e-01
3.857142857142856762e-01,7.580765788261162319e-02,9.269944894960908677e-01,3.866377962400984192e-01,3.373732112094344343e-02,1.566658079716342078e-01,4.940390191810686282e-01
3.928571428571428492e-01,7.859323563671738455e-02,9.244158674115185992e-01,3.933198413103079494e-01,3.495157044011012321e-02,1.608625881013052150e-01,5.103782925024065165e-01
3.999999999999999667e-01,8.142645329952395705e-02,9.218005027463590517e-01,3.999769138055952467e-01,3.618476316701801226e-02,1.650724709057433404e-01,5.269201025759234769e-01
4.071428571428571397e-01,8.430713128341638107e-02,9.191489133537907863e-01,4.066086752661504100e-01,3.743673142072383164e-02,1.692941973876979644e-01,5.436615115949363641e-01
4.142857142857142572e-01,8.723508760303134990e-02,9.164616215406224953e-01,4.132147927895949979e-01,3.870730548456612075e-02,1.735265341412158546e-01,5.605995889868771176e-01
4.214285714285714302e-01,9.021013791510744395e-02,9.137391538546509873e-01,4.197949390737418796e-01,3.999631386028667385e-02,1.777682729586131938e-01,5.777314115614800016e-01
4.285714285714285476e-01,9.323209555863187781e-02,9.109820408720133988e-01,4.263487924569476784e-01,4.130358332235227470e-02,1.820182304574415322e-01,5.950540636809642514e-01
4.357142857142857206e-01,9.630077159526725938e-02,9.081908169846719669e-01,4.328760369560643584e-01,4.262893897244707242e-02,1.862752477255577854e-01,6.125646374500285374e-01
4.428571428571428381e-01,9.941597485004048662e-02,9.053660201881676972e-01,4.393763623019922848e-01,4.397220429410592796e-02,1.905381899825573933e-01,6.302602329236166590e-01
4.500000000000000111e-01,1.025775119522774059e-01,9.025081918697763772e-01,4.458494639728408648e-01,4.533320120745981674e-02,1.948059462560073896e-01,6.481379583306055014e-01
4.571428571428571286e-01,1.057851873767654965e-01,8.996178765971987179e-01,4.522950432247064279e-01,4.671175012406359600e-02,1.990774290710320693e-01,6.661949303116679877e-01
4.642857142857142461e-01,1.090388034851281357e-01,8.966956219079155188e-01,4.587128071200745616e-01,4.810767000177826325e-02,2.033515741519391629e-01,6.844282741697218508e-01
4.714285714285714191e-01,1.123381605673932360e-01,8.937419780993336449e-01,4.651024685538584502e-01,4.952077839967848616e-02,2.076273401346902803e-01,7.028351241314751974e-01
4.785714285714285365e-01,1.156830568837392686e-01,8.907574980198496029e-01,4.714637462770844278e-01,5.095089153295780798e-02,2.119037082891110368e-01,7.214126236186890750e-01
4.857142857142857095e-01,1.190732887064024498e-01,8.877427368609519531e-01,4.777963649182409567e-01,5.239782432780369648e-02,2.161796822498481541e-01,7.401579255278851743e-01
4.928571428571428270e-01,1.225086503617279082e-01,8.846982519504835718e-01,4.841000550023011328e-01,5.386139047621470860e-02,2.204542877551496083e-01,7.590681925172967359e-01
5.000000000000000000e-01,1.259889342723484185e-01,8.816246025471813352e-01,4.903745529674428671e-01,5.534140249073343787e-02,2.247265723926312742e-01,7.781405972999656528e-01
5.071428571428571175e-01,1.295139309994744470e-01,8.785223496366063589e-01,4.966196011794739018e-01,5.683767175906787733e-02,2.289956053512720024e-01,7.973723229419507064e-01
5.142857142857142350e-01,1.330834292852793033e-01,8.753920557285783666e-01,5.028349479439925274e-01,5.835000859857575328e-02,2.332604771789275333e-01,8.167605631646850384e-01
5.214285714285714635e-01,1.366972160953629500e-01,8.722342846562231022e-01,5.090203475162932145e-01,5.987822231058550354e-02,2.375202995447334153e-01,8.363025226505884646e-01
5.285714285714285809e-01,1.403550766612779999e-01,8.690496013767375905e-01,5.151755601090467485e-01,6.142212123452903821e-02,2.417742050058111491e-01,8.559954173511015174e-01
5.357142857142856984e-01,1.440567945231042701e-01,8.658385717739771614e-01,5.213003518977740169e-01,6.298151280186115031e-02,2.460213467777472851e-01,8.758364747963587327e-01
5.428571428571428159e-01,1.478021515720526480e-01,8.626017624629648273e-01,5.273944950241375995e-01,6.455620358974169248e-02,2.502608985083613069e-01,8.958229344057782040e-01
5.499999999999999334e-01,1.515909280930864411e-01,8.593397405964181557e-01,5.334577675970763044e-01,6.614599937445590772e-02,2.544920540543270659e-01,9.159520477988861709e-01
5.571428571428571619e-01,1.554229028075419516e-01,8.560530736733898971e-01,5.394899536918092986e-01,6.775070518455066082e-02,2.587140272602409530e-01,9.362210791057475889e-01
5.642857142857142794e-01,1.592978529157351164e-01,8.527423293501105173e-01,5.454908433467353657e-01,6.937012535366246513e-02,2.629260517397811192e-01,9.566273052764058260e-01
5.714285714285713969e-01,1.632155541395386988e-01,8.494080752531208978e-01,5.514602325582595999e-01,7.100406357301645988e-02,2.671273806586300648e-01,9.771680163887946913e-01
5.785714285714285143e-01,1.671757807649144056e-01,8.460508787947801368e-01,5.573979232735695177e-01,7.265232294357333587e-02,2.713172865188618887e-01,9.978405159545952197e-01
5.857142857142857428e-01,1.711783056843869111e-01,8.426713069912279419e-01,5.633037233813967815e-01,7.431470602780362866e-02,2.754950609445269150e-01,1.018642121222563368e+00
5.928571428571428603e-01,1.752229004394446066e-01,8.392699262828793305e-01,5.691774467007929550e-01,7.599101490106889567e-02,2.796600144682046540e-01,1.039570163478893638e+00
5.999999999999999778e-01,1.793093352628530313e-01,8.358473023575262451e-01,5.750189129679523781e-01,7.768105120258911311e-02,2.838114763182987277e-01,1.060621988344189859e+00
6.071428571428570953e-01,1.834373791208672999e-01,8.324039999761169151e-01,5.808279478211105795e-01,7.938461618597759950e-02,2.879487942068940098e-01,1.081794956066669977e+00
6.142857142857142128e-01,1.876067997553301503e-01,8.289405828012796906e-01,5.866043827835574209e-01,8.110151076932367586e-02,2.920713341180009581e-01,1.103086441811237828e+00
6.214285714285714413e-01,1.918173637256418151e-01,8.254576132286555179e-01,5.923480552447948355e-01,8.283153558480547962e-02,2.961784800960478581e-01,1.124493835944102571e+00
6.285714285714285587e-01,1.960688364505885350e-01,8.219556522211011185e-01,5.980588084398738014e-01,8.457449102781476602e-02,3.002696340344799264e-01,1.146014544312627503e+00
6.357142857142856762e-01,2.003609822500178606e-01,8.184352591458179393e-01,6.037364914269497396e-01,8.633017730557675240e-02,3.043442154643656306e-01,1.167645988520133127e+00
6.428571428571427937e-01,2.046935643863463938e-01,8.148969916144636061e-01,6.093809590630868689e-01,8.809839448524844907e-02,3.084016613429049758e-01,1.189385606195389578e+00
6.500000000000000222e-01,2.090663451058895894e-01,8.113414053262931747e-01,6.149920719783521506e-01,8.987894254147944795e-02,3.124414258417658741e-01,1.211230851256560381e+00
6.571428571428571397e-01,2.134790856799992920e-01,8.077690539143815851e-01,6.205696965482326855e-01,9.167162140341973686e-02,3.164629801351768190e-01,1.233179194169374160e+00
6.642857142857142572e-01,2.179315464459995189e-01,8.041804887949682845e-01,6.261137048644180858e-01,9.347623100116034256e-02,3.204658121877241861e-01,1.255228122199327556e+00
6.714285714285713746e-01,2.224234868479074145e-01,8.005762590199648754e-01,6.316239747039793517e-01,9.529257131159209193e-02,3.244494265418109147e-01,1.277375139657731751e+00
6.785714285714286031e-01,2.269546654769281635e-01,7.969569111326665345e-01,6.371003894969904380e-01,9.712044240366915493e-02,3.284133441047464852e-01,1.299617768141438034e+00
6.857142857142857206e-01,2.315248401117132870e-01,7.933229890266975115e-01,6.425428382926228199e-01,9.895964448306458772e-02,3.323571019354422673e-01,1.321953546766088117e+00
6.928571428571428381e-01,2.361337677583718320e-01,7.896750338082242360e-01,6.479512157237594661e-01,1.008099779362056775e-01,3.362802530307092974e-01,1.344380032392765933e+00
6.999999999999999556e-01,2.407812046902232106e-01,7.860135836614631222e-01,6.533254219701610799e-01,1.026712433736769181e-01,3.401823661111438302e-01,1.366894799847913067e+00
7.071428571428570731e-01,2.454669064872820883e-01,7.823391737175087179e-01,6.586653627202304628e-01,1.045432416729802361e-01,3.440630254066160409e-01,1.389495442136418291e+00
7.142857142857143016e-01,2.501906280754649936e-01,7.786523359265036248e-01,6.639709491314068623e-01,1.064257740206412117e-01,3.479218304413631557e-01,1.412179570647775328e+00
7.214285714285714191e-01,2.549521237655095751e-01,7.749535989331681751e-01,6.692420977892385991e-01,1.083186419536519562e-01,3.517583958187156523e-01,1.434944815355235104e+00
7.285714285714285365e-01,2.597511472915969843e-01,7.712434879557067413e-01,6.744787306651667258e-01,1.102216474002414015e-01,3.555723510054739633e-01,1.457788825007888089e+00
7.357142857142856540e-01,2.645874518496676431e-01,7.675225246681041114e-01,6.796807750730645692e-01,1.121345927199636217e-01,3.593633401159671559e-01,1.480709267315603483e+00
7.428571428571428825e-01,2.694607901354229562e-01,7.637912270858194796e-01,6.848481636245701276e-01,1.140572807430969421e-01,3.631310216958332227e-01,1.503703829126802560e+00
7.500000000000000000e-01,2.743709143820036167e-01,7.600501094548881564e-01,6.899808341832547320e-01,1.159895148093453704e-01,3.668750685055525151e-01,1.526770216599006247e+00
7.571428571428571175e-01,2.793175763973357872e-01,7.562996821444336604e-01,6.950787298176636098e-01,1.179310988058366316e-01,3.705951673037873872e-01,1.549906155362153815e+00
7.642857142857142350e-01,2.843005276011391635e-01,7.525404515425919705e-01,7.001417987532740916e-01,1.198818372044086894e-01,3.742910186305686837e-01,1.573109390674655383e+00
7.714285714285713524e-01,2.893195190615870938e-01,7.487729199558482707e-01,7.051699943234046586e-01,1.218415350981806727e-01,3.779623365903833632e-01,1.596377687572190229e+00
7.785714285714285809e-01,2.943743015316132583e-01,7.449975855117809687e-01,7.101632749191230110e-01,1.238099982374017138e-01,3.816088486352162135e-01,1.619708831009233352e+00
7.857142857142856984e-01,2.994646254848559730e-01,7.412149420652084375e-01,7.151216039381852463e-01,1.257870330645730617e-01,3.852302953476046121e-01,1.643100625993335173e+00
7.928571428571428159e-01,3.045902411512359520e-01,7.374254791077288207e-01,7.200449497330493331e-01,1.277724467488403903e-01,3.888264302237591230e-01,1.666550897712163026e+00
7.999999999999999334e-01,3.097508985521578162e-01,7.336296816806431309e-01,7.249332855580047363e-01,1.297660472196507098e-01,3.923970194568193737e-01,1.690057491653326416e+00
8.071428571428571619e-01,3.149463475353329045e-01,7.298280302912470985e-01,7.297865895154508342e-01,1.317676431996728237e-01,3.959418417202999474e-01,1.713618273717028240e+00
8.142857142857142794e-01,3.201763378092132295e-01,7.260210008324780029e-01,7.346048445013710904e-01,1.337770442369766166e-01,3.994606879517950127e-01,1.737231130321561068e+00
8.214285714285713969e-01,3.254406189770349678e-01,7.222090645058969471e-01,7.393880381500348431e-01,1.357940607364708507e-01,4.029533611370038626e-01,1.760893968501712425e+00
8.285714285714285143e-01,3.307389405704637686e-01,7.183926877479883677e-01,7.441361627779704557e-01,1.378185039905966691e-01,4.064196760941475306e-01,1.784604716000114166e+00
8.357142857142857428e-01,3.360710520828371628e-01,7.145723321597539091e-01,7.488492153272436891e-01,1.398501862092762782e-01,4.098594592588381547e-01,1.808361321351600992e+00
8.428571428571428603e-01,3.414367030019987981e-01,7.107484544395779036e-01,7.535271973080823749e-01,1.418889205491153105e-01,4.132725484694699802e-01,1.832161753960622974e+00
8.499999999999999778e-01,3.468356428427229465e-01,7.069215063193365900e-01,7.581701147408831387e-01,1.439345211418598114e-01,4.166587927532034996e-01,1.856004004171801558e+00
8.571428571428570953e-01,3.522676211787197920e-01,7.030919345037272006e-01,7.627779780976381430e-01,1.459868031221070728e-01,4.200180521126033462e-01,1.879886083333674129e+00
8.642857142857142128e-01,3.577323876742224962e-01,6.992601806127831665e-01,7.673508022428185971e-01,1.480455826542714792e-01,4.233501973130033291e-01,1.903806023855718177e+00
8.714285714285714413e-01,3.632296921151490499e-01,6.954266811275481297e-01,7.718886063737487868e-01,1.501106769588063938e-01,4.266551096706622248e-01,1.927761879258726108e+00
8.785714285714285587e-01,3.687592844398366321e-01,6.915918673388740112e-01,7.763914139605111453e-01,1.521819043376834713e-01,4.299326808417786028e-01,1.951751724218613315e+00
8.857142857142856762e-01,3.743209147693462024e-01,6.877561652993096075e-01,7.808592526854150062e-01,1.542590841991317852e-01,4.331828126124312450e-01,1.975773654603749208e+00
8.928571428571427937e-01,3.799143334373316083e-01,6.839199957780436323e-01,7.852921543820613470e-01,1.563420370816384630e-01,4.364054166895104947e-01,1.999825787505895125e+00
9.000000000000000222e-01,3.855392910194733735e-01,6.800837742188660107e-01,7.896901549740440451e-01,1.584305846772139093e-01,4.396004144927029289e-01,2.023906261264841966e+00
9.071428571428571397e-01,3.911955383624728388e-01,6.762479107011079016e-01,7.940532944133172899e-01,1.605245498539248639e-01,4.427677369475990221e-01,2.048013235486847439e+00
9.142857142857142572e-01,3.968828266126054327e-01,6.724128099035210360e-01,7.983816166182623464e-01,1.626237566776986554e-01,4.459073242799783676e-01,2.072144891056964866e+00
9.214285714285713746e-01,4.026009072438294645e-01,6.685788710710566241e-01,8.026751694114907520e-01,1.647280304334025058e-01,4.490191258113431783e-01,2.096299430145368348e+00
9.285714285714284921e-01,4.083495320854521604e-01,6.647464879844985353e-01,8.069340044574101478e-01,1.668371976452015237e-01,4.521030997557534681e-01,2.120475076207768872e+00
9.357142857142857206e-01,4.141284533493459485e-01,6.609160489329127808e-01,8.111581771995894918e-01,1.689510860962012417e-01,4.551592130180257545e-01,2.144670073980038172e+00
9.428571428571428381e-01,4.199374236567187113e-01,6.570879366888637829e-01,8.153477467979539650e-01,1.710695248473780850e-01,4.581874409933539560e-01,2.168882689467134917e+00
9.499999999999999556e-01,4.257761960644353416e-01,6.532625284863555759e-01,8.195027760658381011e-01,1.731923442558035986e-01,4.611877673684084411e-01,2.193111209926444705e+00
9.571428571428570731e-01,4.316445240908868830e-01,6.494401960014518638e-01,8.236233314069291156e-01,1.753193759921680972e-01,4.641601839239658522e-01,2.217353943845646658e+00
9.642857142857143016e-01,4.375421617414120834e-01,6.456213053355260856e-01,8.277094827521307430e-01,1.774504530576090366e-01,4.671046903391261051e-01,2.241609220915216749e+00
9.714285714285714191e-01,4.434688635332643125e-01,6.418062170010973011e-01,8.317613034963723395e-01,1.795854097998501597e-01,4.700212939971663006e-01,2.265875391995667787e+00
9.785714285714285365e-01,4.494243845201304488e-01,6.379952859102002716e-01,8.357788704353978915e-01,1.817240819286580489e-01,4.729100097930831192e-01,2.290150829079663719e+00
9.857142857142856540e-01,4.554084803161960737e-01,6.341888613652429951e-01,8.397622637025574655e-01,1.838663065306222200e-01,4.757708599428693286e-01,2.314433925249091306e+00
9.928571428571427715e-01,4.614209071197594714e-01,6.303872870523030691e-01,8.437115667056294122e-01,1.860119220832658071e-01,4.786038737945746968e-01,2.338723094627232602e+00
1.000000000000000000e+00,4.674614217363957103e-01,6.265909010368099219e-01,8.476268660637018559e-01,1.881607684684935278e-01,4.814090876411925013e-01,2.363016772326127501e+00
1.007142857142857117e+00,4.735297816016684758e-01,6.228000357615665061e-01,8.515082515441364519e-01,1.903126869853847269e-01,4.841865445354180952e-01,2.387313414389265365e+00
1.014285714285714235e+00,4.796257448033936499e-01,6.190150180470566088e-01,8.553558159996417221e-01,1.924675203623383291e-01,4.869362941063175021e-01,2.411611497729700737e+00
1.021428571428571352e+00,4.857490701034528624e-01,6.152361690939887051e-01,8.591696553054797292e-01,1.946251127685774962e-01,4.896583923779485037e-01,2.435909520063723299e+00
1.028571428571428470e+00,4.918995169591600103e-01,6.114638044880240653e-01,8.629498682968299583e-01,1.967853098250222366e-01,4.923529015899691386e-01,2.460205999840191726e+00
1.035714285714285587e+00,4.980768455441783038e-01,6.076982342066391540e-01,8.666965567063334985e-01,1.989479586145373735e-01,4.950198900202710250e-01,2.484499476165644705e+00
1.042857142857142927e+00,5.042808167689970533e-01,6.039397626280671449e-01,8.704098251018417276e-01,2.011129076915644520e-01,4.976594318096719261e-01,2.508788508725316557e+00
1.050000000000000044e+00,5.105111923009586494e-01,6.001886885422720308e-01,8.740897808243885958e-01,2.032800070911456036e-01,5.002716067886973095e-01,2.533071677700153401e+00
1.057142857142857162e+00,5.167677345838481706e-01,5.964453051638980430e-01,8.777365339264127098e-01,2.054491083373485572e-01,5.028565003064835448e-01,2.557347583679969283e+00
1.064285714285714279e+00,5.230502068570395124e-01,5.927099001471469730e-01,8.813501971102430943e-01,2.076200644511001225e-01,5.054142030618298254e-01,2.581614847572830662e+00
1.071428571428571397e+00,5.293583731742051990e-01,5.889827556025278854e-01,8.849308856668772760e-01,2.097927299574382232e-01,5.079448109364252950e-01,2.605872110510807360e+00
1.078571428571428514e+00,5.356919984215884334e-01,5.852641481154304826e-01,8.884787174150622358e-01,2.119669608921907478e-01,5.104484248302771920e-01,2.630118033752184559e+00
