t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
4.113999999999999879e+00,3.291199999999999903e+00,1.028115196624475834e-02,-1.621300595449274434e-02,1.576963944091434922e+00,-2.575598125930717366e-02,1.145790112324878707e-01,-1.480931177944773969e-01,1.345952995316656263e-02,1.809757929832010559e+00
4.115999999999999659e+00,3.292799999999999727e+00,1.024879507336055005e-02,-1.614392630710573956e-02,1.575202371746925012e+00,-2.564301254620675666e-02,1.142833533464765322e-01,-1.475649615928599223e-01,1.343065319531292975e-02,1.809838205514210818e+00
4.118000000000000327e+00,3.294400000000000439e+00,1.021657607242221037e-02,-1.607511389777833977e-02,1.573434562012432592e+00,-2.553049589245156084e-02,1.139887503264668256e-01,-1.470382517861439087e-01,1.340180745759791438e-02,1.809918224691116295e+00
4.120000000000000107e+00,3.296000000000000263e+00,1.018449442969398232e-02,-1.600656798631253097e-02,1.571660537183237283e+00,-2.541842996226429882e-02,1.136951992802066880e-01,-1.465129878340922787e-01,1.337299280918291880e-02,1.809997988196347940e+00
4.121999999999999886e+00,3.297600000000000087e+00,1.015254961291960425e-02,-1.593828783341398256e-02,1.569880319829390469e+00,-2.530681342189472147e-02,1.134026973165397079e-01,-1.459891691820611459e-01,1.334420931877781762e-02,1.810077496861309143e+00
4.123999999999999666e+00,3.299199999999999910e+00,1.012074109132050405e-02,-1.587027270069547857e-02,1.568093932795666889e+00,-2.519564493962414206e-02,1.131112415454329223e-01,-1.454667952610393111e-01,1.331545705464188059e-02,1.810156751515187956e+00
4.126000000000000334e+00,3.300800000000000622e+00,1.008906833559397240e-02,-1.580252185068015819e-02,1.566301399201477151e+00,-2.508492318576968291e-02,1.128208290780052386e-01,-1.449458654876863151e-01,1.328673608458454808e-02,1.810235752984961088e+00
4.128000000000000114e+00,3.302400000000000446e+00,1.005753081791133097e-02,-1.573503454680489494e-02,1.564502742440775584e+00,-2.497464683268872665e-02,1.125314570265573272e-01,-1.444263792643719069e-01,1.325804647596637992e-02,1.810314502095396794e+00
4.129999999999999893e+00,3.304000000000000270e+00,1.002612801191611787e-02,-1.566781005342340882e-02,1.562697986181915466e+00,-2.486481455478294772e-02,1.122431225045986969e-01,-1.439083359792134309e-01,1.322938829569995228e-02,1.810392999669058423e+00
4.131999999999999673e+00,3.305600000000000094e+00,9.994859392722248853e-03,-1.560084763580957788e-02,1.560887154367506691e+00,-2.475542502850263879e-02,1.119558226268772549e-01,-1.433917350061151841e-01,1.320076161025069382e-02,1.810471246526306421e+00
