a,m,c_m,ell_linear,ell_profile,tau_linear,tau_profile,ell_difference,normalized_difference,K_m,normalized_minus_K_m
7.962143411069938915e-05,3.000000000000000000e+00,2.500000000000000000e-01,1.961257194618162503e+00,1.961257181604130650e+00,2.225943676067274879e+01,2.225943298673414716e+01,-1.301403185216543079e-08,3.207538663446470206e+00,3.434802200544679440e+00,-2.272635370982092340e-01
7.962143411069938915e-05,2.000000000000000000e+00,-5.000000000000000000e-01,1.961257194618162503e+00,1.961272292739450140e+00,2.225943676067274879e+01,2.226380807124697014e+01,1.509812128763776684e-05,2.509258640488181147e+00,2.647166369332992542e+00,-1.379077288448113947e-01
5.023772863019165054e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.969146147859761165e+00,1.969146154815389238e+00,2.496109299623332589e+01,2.496109583694332912e+01,6.955628073512798437e-09,3.229666284082565397e+00,3.434802200544679440e+00,-2.051359164621140430e-01
5.023772863019165054e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.969146147859761165e+00,1.969146154815386573e+00,2.496109299623332589e+01,2.496109583694233081e+01,6.955625408977539337e-09,3.229665046874423240e+00,3.434802200544679440e+00,-2.051371536702562004e-01
5.023772863019165054e-05,3.000000000000000000e+00,-5.000000000000000000e-01,1.969146147859761165e+00,1.969146158293232807e+00,2.496109299623332589e+01,2.496109725731762197e+01,1.043347164220165268e-08,3.229675425676063139e+00,3.434802200544679440e+00,-2.051267748686163017e-01
5.023772863019165054e-05,3.000000000000000000e+00,2.500000000000000000e-01,1.969146147859761165e+00,1.969146142642918651e+00,2.496109299623332589e+01,2.496109086562858437e+01,-5.216842513533492820e-09,3.229741478844117886e+00,3.434802200544679440e+00,-2.050607217005615546e-01
5.023772863019165054e-05,2.000000000000000000e+00,-5.000000000000000000e-01,1.969146147859761165e+00,1.969154685783888192e+00,2.496109299623332589e+01,2.496457548000788051e+01,8.537924127027807231e-06,2.523334406700719956e+00,2.647166369332992542e+00,-1.238319626322725853e-01
3.169786384922222147e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.975436061386629305e+00,1.975436064172986894e+00,2.799725694913783869e+01,2.799725855221385729e+01,2.786357589101839949e-09,3.249811335783987065e+00,3.434802200544679440e+00,-1.849908647606923751e-01
3.169786384922222147e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.975436061386629305e+00,1.975436064172986450e+00,2.799725694913783869e+01,2.799725855221353754e+01,2.786357145012630099e-09,3.249810817829596132e+00,3.434802200544679440e+00,-1.849913827150833079e-01
3.169786384922222147e-05,3.000000000000000000e+00,-5.000000000000000000e-01,1.975436061386629305e+00,1.975436065566191557e+00,2.799725694913783869e+01,2.799725935377512087e+01,4.179562251849233689e-09,3.249831449679505546e+00,3.434802200544679440e+00,-1.849707508651738941e-01
3.169786384922222147e-05,3.000000000000000000e+00,2.500000000000000000e-01,1.975436061386629305e+00,1.975436059296768354e+00,2.799725694913783869e+01,2.799725574674918249e+01,-2.089860950960087393e-09,3.249955586081890502e+00,3.434802200544679440e+00,-1.848466144627889385e-01
3.169786384922222147e-05,2.000000000000000000e+00,-5.000000000000000000e-01,1.975436061386629305e+00,1.975440886733724088e+00,2.799725694913783869e+01,2.800003029908848617e+01,4.825347094783438706e-06,2.536010671473954758e+00,2.647166369332992542e+00,-1.111556978590377831e-01
2.000000000000000164e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.980448811398019204e+00,1.980448812513456058e+00,3.140820451846773764e+01,3.140820542272975047e+01,1.115436853993401201e-09,3.267881408183792580e+00,3.434802200544679440e+00,-1.669207923608868605e-01
2.000000000000000164e-05,3.000000000000000000e+00,-3.333333333333333148e-01,1.980448811398019204e+00,1.980448812513456058e+00,3.140820451846773764e+01,3.140820542272947691e+01,1.115436853993401201e-09,3.267881408183792580e+00,3.434802200544679440e+00,-1.669207923608868605e-01
2.000000000000000164e-05,3.000000000000000000e+00,-5.000000000000000000e-01,1.980448811398019204e+00,1.980448813071230996e+00,3.140820451846773764e+01,3.140820587491760207e+01,1.673211791342055221e-09,3.267991779964951160e+00,3.434802200544679440e+00,-1.668104205797282802e-01
2.000000000000000164e-05,3.000000000000000000e+00,2.500000000000000000e-01,1.980448811398019204e+00,1.980448810561244777e+00,3.140820451846773764e+01,3.140820384007381350e+01,-8.367744275261657094e-10,3.268650107524084358e+00,3.434802200544679440e+00,-1.661520930205950819e-01
2.000000000000000164e-05,2.000000000000000000e+00,-5.000000000000000000e-01,1.980448811398019204e+00,1.980451537109241711e+00,3.140820451846773764e+01,3.141041243421066653e+01,2.725711222506532749e-06,2.547430596585091411e+00,2.647166369332992542e+00,-9.973577274790113023e-02
