t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
2.142857142857142738e-01,3.801273038491739115e-02,9.627006852629066413e-01,3.538858294999965293e-01,1.006770607489501125e-02,9.273624485412211571e-02,1.934133056030722386e-01
2.214285714285714191e-01,4.058217557722340607e-02,9.602302537938176563e-01,3.655568298469860644e-01,1.074404151198480283e-02,9.759072133070627320e-02,2.050311364505543188e-01
2.285714285714285643e-01,4.323494188083968487e-02,9.576863629985470361e-01,3.772156794771796551e-01,1.144175668662645098e-02,1.025077312426505849e-01,2.169252981089150878e-01
2.357142857142857095e-01,4.597094119652426342e-02,9.550697149706343092e-01,3.888620124305428027e-01,1.216077630596501015e-02,1.074838621830936231e-01,2.290916252427437350e-01
2.428571428571428548e-01,4.879008281955608817e-02,9.523810298570278832e-01,4.004954651435132518e-01,1.290102294551817054e-02,1.125157902631120643e-01,2.415260197182937663e-01
2.500000000000000000e-01,5.169227345707744919e-02,9.496210454864359995e-01,4.121156765117790499e-01,1.366241707232637020e-02,1.176002761105573446e-01,2.542244468338210606e-01
2.571428571428571175e-01,5.467741724588125879e-02,9.467905169899875073e-01,4.237222879520086138e-01,1.444487706865244490e-02,1.227341612669863580e-01,2.671829319535108382e-01
2.642857142857142905e-01,5.774541577063525138e-02,9.438902164145053231e-01,4.353149434625075420e-01,1.524831925621704734e-02,1.279143649350014122e-01,2.803975574971718787e-01
2.714285714285714080e-01,6.089616808253561081e-02,9.409209323287055504e-01,4.468932896827840229e-01,1.607265792095609672e-02,1.331378810348639863e-01,2.938644602444249188e-01
2.785714285714285809e-01,6.412957071838225331e-02,9.378834694226358959e-01,4.584569759519994681e-01,1.691780533828611890e-02,1.384017755347770884e-01,3.075798289176382427e-01
2.857142857142856984e-01,6.744551772006725232e-02,9.347786481006731263e-01,4.700056543662879949e-01,1.778367179886315708e-02,1.437031840238784108e-01,3.215399020125099816e-01
2.928571428571428714e-01,7.084390065446907747e-02,9.316073040683993112e-01,4.815389798349237749e-01,1.867016563482080949e-02,1.490393095009408808e-01,3.357409658491489757e-01
2.999999999999999889e-01,7.432460863374321103e-02,9.283702879136831454e-01,4.930566101353183184e-01,1.957719324647256079e-02,1.544074203551263347e-01,3.501793528198519079e-01
3.071428571428571064e-01,7.788752833600208481e-02,9.250684646822930901e-01,5.045582059668335395e-01,2.050465912946371552e-02,1.598048485180218470e-01,3.648514398126589953e-01
3.142857142857142794e-01,8.153254402637456766e-02,9.217027134483719575e-01,5.160434310033904515e-01,2.145246590235778961e-02,1.652289877686466402e-01,3.797536467922245640e-01
3.214285714285713969e-01,8.525953757843711400e-02,9.182739268801040078e-01,5.275119519448601135e-01,2.242051433464213595e-02,1.706772921752537087e-01,3.948824355216750681e-01
3.285714285714285698e-01,8.906838849600763608e-02,9.147830108009074035e-01,5.389634385672245065e-01,2.340870337513769467e-02,1.761472746595793004e-01,4.102343084109562610e-01
3.357142857142856873e-01,9.295897393529305164e-02,9.112308837464869749e-01,5.503975637714884073e-01,2.441693018079707858e-02,1.816365056708030556e-01,4.258058074787738345e-01
3.428571428571428603e-01,9.693116872738195833e-02,9.076184765180803637e-01,5.618140036313358232e-01,2.544509014587588436e-02,1.871426119578623315e-01,4.415935134166211196e-01
3.499999999999999778e-01,1.009848454010729008e-01,9.039467317322343876e-01,5.732124374395132227e-01,2.649307693146119025e-02,1.926632754299936745e-01,4.575940447446055770e-01
3.571428571428571508e-01,1.051198742060297092e-01,9.002166033674460222e-01,5.845925477529335668e-01,2.756078249534179084e-02,1.981962320964262836e-01,4.738040570498441850e-01
3.642857142857142683e-01,1.093361231362539598e-01,8.964290563080030694e-01,5.959540204364867089e-01,2.864809712220418164e-02,2.037392710771098459e-01,4.902202422991516206e-01
3.714285714285714413e-01,1.136334579538662987e-01,8.925850658853591302e-01,6.072965447055512778e-01,2.975490945413859431e-02,2.092902336771639560e-01,5.068393282185499338e-01
3.785714285714285587e-01,1.180117422131860550e-01,8.886856174173762835e-01,6.186198131671946099e-01,3.088110652143915766e-02,2.148470125184935298e-01,5.236580777328850855e-01
3.857142857142856762e-01,1.224708372851012750e-01,8.847317057457675382e-01,6.299235218600583996e-01,3.202657377368219038e-02,2.204075507226428976e-01,5.406732884594647182e-01
3.928571428571428492e-01,1.270106023817180740e-01,8.807243347720697946e-01,6.412073702929192986e-01,3.319119511106671111e-02,2.259698411395515694e-01,5.578817922502187221e-01
3.999999999999999667e-01,1.316308945812811326e-01,8.766645169924751624e-01,6.524710614819198007e-01,3.437485291600131387e-02,2.315319256173869467e-01,5.752804547774000854e-01
4.071428571428571397e-01,1.363315688533556502e-01,8.725532730318477093e-01,6.637143019864675253e-01,3.557742808492138364e-02,2.370918943090843389e-01,5.928661751582982031e-01
4.142857142857142572e-01,1.411124780842602233e-01,8.683916311772494900e-01,6.749368019437922417e-01,3.679880006032076878e-02,2.426478850116459696e-01,6.106358856148537129e-01
4.214285714285714302e-01,1.459734731027422794e-01,8.641806269112959349e-01,6.861382751021647408e-01,3.803884686298201340e-02,2.481980825346118968e-01,6.285865511644319614e-01
4.285714285714285476e-01,1.509144027058858528e-01,8.599213024456585641e-01,6.973184388527681188e-01,3.929744512438932552e-02,2.537407180944551977e-01,6.467151693383483835e-01
4.357142857142857206e-01,1.559351136852423769e-01,8.556147062550297777e-01,7.084770142602276888e-01,4.057447011930857134e-02,2.592740687319515791e-01,6.650187699250372786e-01
4.428571428571428381e-01,1.610354508531741946e-01,8.512618926118598051e-01,7.196137260917883083e-01,4.186979579851834998e-02,2.647964567498409250e-01,6.834944147350243693e-01
