t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
9.540000000000000702e-01,7.632000000000001005e-01,2.514747067724248941e-01,-5.581810493886077973e-01,2.219630978211023731e+00,-1.063111626665542486e+00,1.127898967634054284e+00,-1.217686003285159968e+00,8.519911100402346449e-01,6.047556064102630469e-01
9.560000000000000719e-01,7.648000000000001464e-01,2.503631473229920301e-01,-5.533774972830134420e-01,2.210299331990360105e+00,-1.053852105825770824e+00,1.125467502349182025e+00,-1.213752127029670502e+00,8.529634415689418825e-01,6.059002398530007882e-01
9.580000000000000737e-01,7.664000000000000812e-01,2.492612061358840947e-01,-5.485628046696182647e-01,2.200754835353603500e+00,-1.044573292651887142e+00,1.123044080266151656e+00,-1.209642876345872420e+00,8.539230971319249353e-01,6.070390108926275730e-01
9.599999999999999645e-01,7.680000000000000160e-01,2.481689053191592775e-01,-5.437371445332456199e-01,2.190996264556064332e+00,-1.035275523191299563e+00,1.120629051596266468e+00,-1.205358792664732670e+00,8.548700547304431963e-01,6.081719032792346491e-01
9.619999999999999662e-01,7.696000000000000618e-01,2.470862666346362591e-01,-5.389006901278098338e-01,2.181022431832184250e+00,-1.025959133865324224e+00,1.118222765442435040e+00,-1.200900442979851990e+00,8.558042928095865864e-01,6.092989009915548149e-01
9.639999999999999680e-01,7.711999999999999966e-01,2.460133114973623303e-01,-5.340536149700734203e-01,2.170832186760753402e+00,-1.016624461457031670e+00,1.115825569747872503e+00,-1.196268420023492984e+00,8.567257902586766782e-01,6.104199882372931540e-01
9.659999999999999698e-01,7.728000000000000425e-01,2.449500609750940305e-01,-5.291960928333994119e-01,2.160424417641630512e+00,-1.007271843099092345e+00,1.113437811244447850e+00,-1.191463342438467965e+00,8.576345264116522760e-01,6.115351494534553289e-01
9.679999999999999716e-01,7.743999999999999773e-01,2.438965357877904694e-01,-5.243282977414999158e-01,2.149798052882995858e+00,-9.979016162616226593e-01,1.111059835400696638e+00,-1.186485854945663387e+00,8.585304810474377879e-01,6.126443693066644380e-01
9.699999999999999734e-01,7.760000000000000231e-01,2.428527563071182782e-01,-5.194504039621743452e-01,2.138952062398101983e+00,-9.885141187400178220e-01,1.108691986369501059e+00,-1.181336628506965081e+00,8.594136343902951669e-01,6.137476326934743209e-01
9.719999999999999751e-01,7.776000000000000689e-01,2.418187425559700787e-01,-5.145625860010488717e-01,2.127885459010485647e+00,-9.791096886427957946e-01,1.106334606935446718e+00,-1.176016360483362222e+00,8.602839671101610852e-01,6.148449247406685414e-01
