a,profile_index,ell_critical,tau_tangent,tau_match,x_match,delta_match,max_real_q_after_local_layer,time_of_remote_max,entry_error,entry_error_over_a_2_3,u_min,slow_branch_margin_min,forcing_max,tube_discriminant,certified_radius,tube_certified
2.154434690031884272e-03,2.000000000000000000e+00,1.805006971861527809e+00,9.984683308212286335e+00,6.127093582454110532e+01,2.112067674097738990e-01,1.291549665014884163e-01,-6.900553951654698759e-01,2.125155506116893989e+01,2.660238238728380045e-03,1.594770926213862072e-01,3.359587510032349122e-01,4.507388262788430411e-01,2.059719844313609698e-03,1.046294029983991514e-01,6.247032571701949255e-03,1.000000000000000000e+00
2.154434690031884272e-03,3.000000000000000000e+00,1.805859216764180708e+00,1.000600690941313431e+01,6.715456650948554795e+01,2.314882042913424531e-01,1.291549665014884163e-01,-6.890471421127639662e-01,2.129968655425481572e+01,2.267674028103772686e-03,1.359434864705522661e-01,3.364757640502863967e-01,4.508944056280915769e-01,1.745682251611150888e-03,1.062332107867794001e-01,5.270699142530754777e-03,1.000000000000000000e+00
1.000000000000000021e-03,0.000000000000000000e+00,1.865690198570928660e+00,1.197215024106015058e+01,1.008666850822035883e+02,1.613866961315257309e-01,1.000000000000000194e-01,-7.166990272912443505e-01,2.537088486462237213e+01,1.746184837033751139e-03,1.746184837033750714e-01,3.118809754729658934e-01,4.614840379189112940e-01,1.178397375115741719e-03,9.255615336150578576e-02,3.825273703249421064e-03,1.000000000000000000e+00
1.000000000000000021e-03,1.000000000000000000e+00,1.865690198491210872e+00,1.197215023746156248e+01,1.008621629595069038e+02,1.613794607352110611e-01,1.000000000000000194e-01,-7.166990610752421720e-01,2.537083996919253437e+01,1.746564388209774152e-03,1.746564388209773944e-01,3.118809754151965485e-01,3.578545537689281630e-01,1.178660662967861809e-03,9.255510017406298751e-02,3.826139128919658905e-03,1.000000000000000000e+00
1.000000000000000021e-03,2.000000000000000000e+00,1.865691493983553828e+00,1.197220782370621706e+01,1.013051123091462102e+02,1.620881796946339326e-01,1.000000000000000194e-01,-7.166833541434344257e-01,2.537528658957972993e+01,1.723990477204645705e-03,1.723990477204645488e-01,3.118819142254082299e-01,4.614842600516551596e-01,1.163217408837007244e-03,9.261745878555686928e-02,3.775373959386513212e-03,1.000000000000000000e+00
1.000000000000000021e-03,3.000000000000000000e+00,1.866028537725564540e+00,1.198710579842911805e+01,1.089708669654860955e+02,1.743533871447777439e-01,1.000000000000000194e-01,-7.156741902486222218e-01,2.542082290626484209e+01,1.507503733287426538e-03,1.507503733287426373e-01,3.121263406874791868e-01,4.615420445420573836e-01,1.016158450108807293e-03,9.335821875052109642e-02,3.290284373649088323e-03,1.000000000000000000e+00
4.641588833612782196e-04,0.000000000000000000e+00,1.907715927655600163e+00,1.441391385105947798e+01,1.676713317890753387e+02,1.245218210158649530e-01,7.742636826811273576e-02,-7.320912024955553710e-01,3.037451302421591492e+01,1.105804003498827041e-03,1.844592252274367683e-01,2.871900697407951952e-01,4.685262727424386320e-01,6.510963813606609205e-04,7.987375063228016603e-02,2.285312423320223774e-03,1.000000000000000000e+00
4.641588833612782196e-04,1.000000000000000000e+00,1.907715927649995091e+00,1.441391385061556640e+01,1.676686581700000716e+02,1.245198354413937641e-01,7.742636826811273576e-02,-7.320912412025809557e-01,3.037447640857977049e+01,1.105890311383325806e-03,1.844736222502864620e-01,2.871900697359410226e-01,3.648429053343452688e-01,6.511481882572193233e-04,7.987354340190579161e-02,2.285495733216957870e-03,1.000000000000000000e+00
4.641588833612782196e-04,2.000000000000000000e+00,1.907716212565282898e+00,1.441393619146277061e+01,1.681049776299048517e+02,1.248438699266708612e-01,7.742636826811273576e-02,-7.320809170226246776e-01,3.038046841771495821e+01,1.097364248250101877e-03,1.830513892010132149e-01,2.871903164763809913e-01,4.685263193685887395e-01,6.460811375531601156e-04,7.989395332759123558e-02,2.267565985658970273e-03,1.000000000000000000e+00
4.641588833612782196e-04,3.000000000000000000e+00,1.907848280019152964e+00,1.442425278555461610e+01,1.780838343397652181e+02,1.322547099069444343e-01,7.742636826811273576e-02,-7.313550824613920254e-01,3.039499597201080050e+01,9.846362976674519901e-04,1.642472337085752465e-01,2.873047310942677957e-01,4.685479308898946038e-01,5.794092582303408869e-04,8.022637147622817266e-02,2.031064645549723879e-03,1.000000000000000000e+00
