a,ell_lower,ell_upper,mechanism_0_interior_1_endpoint_2_tip
1.645509184368789957e-01,0.000000000000000000e+00,8.999518316119459183e-01,0.000000000000000000e+00
1.742103508391839306e-01,0.000000000000000000e+00,8.968914089095145759e-01,0.000000000000000000e+00
1.838697832414888655e-01,0.000000000000000000e+00,8.951230112195054378e-01,0.000000000000000000e+00
1.935292156437938005e-01,0.000000000000000000e+00,8.944498355184600236e-01,0.000000000000000000e+00
2.031886480460987354e-01,0.000000000000000000e+00,8.947069217880829761e-01,0.000000000000000000e+00
2.128480804484036704e-01,0.000000000000000000e+00,8.957558608023932223e-01,0.000000000000000000e+00
2.225075128507086053e-01,0.000000000000000000e+00,8.974803215441395920e-01,0.000000000000000000e+00
2.321669452530135402e-01,0.000000000000000000e+00,8.997823109846281309e-01,0.000000000000000000e+00
2.418263776553185029e-01,0.000000000000000000e+00,9.025790685914185651e-01,0.000000000000000000e+00
2.514858100576234379e-01,0.000000000000000000e+00,9.058004994842951962e-01,0.000000000000000000e+00
2.611452424599283728e-01,0.000000000000000000e+00,9.093870581408549647e-01,0.000000000000000000e+00
2.708046748622333078e-01,0.000000000000000000e+00,9.132880052809237981e-01,0.000000000000000000e+00
2.804641072645382427e-01,0.000000000000000000e+00,9.174599718768783330e-01,0.000000000000000000e+00
2.901235396668431776e-01,0.000000000000000000e+00,9.218657749347500818e-01,0.000000000000000000e+00
2.997829720691481126e-01,0.000000000000000000e+00,9.264734392461528856e-01,0.000000000000000000e+00
3.094424044714530475e-01,0.000000000000000000e+00,9.312553875272517878e-01,0.000000000000000000e+00
3.191018368737579824e-01,0.000000000000000000e+00,9.361877682646615462e-01,0.000000000000000000e+00
3.193018368737579604e-01,0.000000000000000000e+00,9.362894385311051337e-01,1.000000000000000000e+00
3.219615206692258980e-01,0.000000000000000000e+00,9.372871865391669832e-01,1.000000000000000000e+00
3.246212044646938355e-01,0.000000000000000000e+00,9.376266717715070476e-01,1.000000000000000000e+00
3.272808882601617730e-01,0.000000000000000000e+00,9.373081002317051880e-01,1.000000000000000000e+00
3.299405720556297106e-01,0.000000000000000000e+00,9.363303028318246124e-01,1.000000000000000000e+00
3.326002558510976481e-01,0.000000000000000000e+00,9.346905310763398145e-01,1.000000000000000000e+00
3.352599396465655301e-01,0.000000000000000000e+00,9.323842332452683124e-01,1.000000000000000000e+00
3.379196234420334677e-01,0.000000000000000000e+00,9.294048024426330157e-01,1.000000000000000000e+00
3.405793072375014052e-01,1.886829240048393946e-03,9.257432859189608232e-01,1.000000000000000000e+00
3.432389910329693428e-01,1.163238400651760152e-02,9.213880423576075174e-01,1.000000000000000000e+00
3.458986748284372803e-01,2.176423238038059302e-02,9.163243300040839756e-01,1.000000000000000000e+00
3.485583586239052178e-01,3.231077794796652358e-02,9.105338031228120688e-01,1.000000000000000000e+00
3.512180424193731554e-01,4.330428441730955341e-02,9.039938865342670438e-01,1.000000000000000000e+00
3.538777262148410929e-01,5.478166806744137057e-02,8.966769867423767248e-01,1.000000000000000000e+00
3.565374100103090305e-01,6.678551395839761595e-02,8.885494815262702240e-01,1.000000000000000000e+00
3.591970938057769125e-01,7.936539866069176885e-02,8.795704047526980984e-01,1.000000000000000000e+00
3.618567776012448500e-01,9.257964115515533721e-02,8.696897043507386682e-01,1.000000000000000000e+00
3.645164613967127876e-01,1.064976652303408627e-01,8.588458897802988545e-01,1.000000000000000000e+00
3.671761451921807251e-01,1.212032576075073309e-01,8.469627844837491759e-01,1.000000000000000000e+00
3.698358289876486626e-01,1.367991770897239445e-01,8.339449277827249984e-01,1.000000000000000000e+00
3.724955127831166002e-01,1.534138724185719893e-01,8.196708683598592504e-01,1.000000000000000000e+00
3.751551965785845377e-01,1.712116276637765944e-01,8.039830303256706445e-01,1.000000000000000000e+00
3.778148803740524753e-01,1.904085582678363975e-01,7.866717286393103414e-01,1.000000000000000000e+00
3.804745641695204128e-01,2.112992145706293068e-01,7.674485769474084229e-01,1.000000000000000000e+00
3.831342479649882948e-01,2.343039431919643478e-01,7.458991373916784573e-01,1.000000000000000000e+00
3.857939317604562879e-01,2.600611550533938332e-01,7.213906635327067551e-01,1.000000000000000000e+00
3.884536155559241699e-01,2.896312068328654177e-01,6.928682295615709030e-01,1.000000000000000000e+00
3.911132993513921075e-01,3.250420158396879478e-01,6.583091257697587517e-01,1.000000000000000000e+00
3.937729831468600450e-01,3.713443186895252213e-01,6.126676098751666633e-01,1.000000000000000000e+00
3.964326669423279825e-01,4.601456713250129393e-01,5.243409166417840606e-01,1.000000000000000000e+00
3.966326669423279605e-01,4.922574410340883055e-01,4.922574410340883055e-01,2.000000000000000000e+00
